<article n="1">
.	$.	.
<s lang="de" n="24-69">
So	ADV	so
gewährten	VVFIN	gewähren
ihm	PPER	er
in	APPR	in
der	ART	d
Folge	NN	Folge
alle	PIAT	alle
Zeitschriften	NN	Zeitschrift
gerne	ADV	gerne
die	ART	d
Aufnahme	NN	Aufnahme
seiner	PPOSAT	sein
sachlich	ADJD	sachlich
und	KON	und
überzeugend	ADJD	überzeugend
geschriebenen	ADJA	geschrieben
Aufsätze	NN	Aufsatz
,	$,	,
welche	PRELS	welch
nicht	PTKNEG	nicht
nur	ADV	nur
in	APPR	in
künstlerischem	ADJA	künstlerisch
Sinne	NN	Sinn
,	$,	,
sondern	KON	sondern
auch	ADV	auch
in	APPR	in
wichtigen	ADJA	wichtig
Lebensfragen	NN	Lebensfrage
auf	APPR	auf
sozialem	ADJA	sozial
,	$,	,
religiösem	ADJA	religiös
,	$,	,
pädagogischem	ADJA	pädagogisch
und	KON	und
philosophischem	ADJA	philosophisch
Gebiet	NN	Gebiet
Klärung	NN	Klärung
und	KON	und
Anregung	NN	Anregung
zu	PTKZU	zu
bringen	VVINF	bringen
versuchen	VVFIN	versuchen
.	$.	.
<s lang="de" n="24-70">
Nach	APPR	nach
all	PIAT	all
diesen	PDAT	dies
ermutigenden	ADJA	ermutigend
Anerkennungen	NN	Anerkennung
durfte	VMFIN	dürfen
denn	ADV	denn
auch	ADV	auch
ein	ART	ein
Lieblingsgedanke	NN	Lieblingsgedanke
des	ART	d
Künstlers	NN	Künstler
verwirklicht	VVPP	verwirklichen
werden	VAINF	werden
,	$,	,
und	KON	und
so	ADV	so
erschienen	VVPP	erscheinen
im	APPRART	im
Laufe	NN	Lauf
der	ART	d
Jahre	NN	Jahr
zwei	CARD	zwei
längst	ADV	längst
vorbereitete	ADJA	vorbereitet
Gedichtsammlungen	NN	Gedichtsammlung
.	$.	.
<s lang="de" n="24-71">
Die	ART	d
«	$(	«
Wander-sprüche	NN	unk
»	$(	»
2	CARD	@card@
)	$(	)
und	KON	und
«	$(	«
Wegspuren	VVINF	wegspuren
»	$(	»
3	CARD	@card@
)	$(	)
,	$,	,
in	APPR	in
welchen	PRELS	welch
in	APPR	in
freimütiger	ADJA	freimütig
und	KON	und
eindringlicher	ADJA	eindringlich
Sprache	NN	Sprache
menschliches	ADJA	menschlich
Tun	NN	Tun
,	$,	,
Leben	NN	Leben
und	KON	und
Empfinden	NN	Empfinden
auf	APPR	auf
gedankentiefe	ADJA	gedankentief
,	$,	,
herzerfreuende	ADJA	herzerfreuend
Art	NN	Art
zum	APPRART	zum
Ausdruck	NN	Ausdruck
gebracht	VVPP	bringen
wird	VAFIN	werden
.	$.	.
<s lang="de" n="24-72">
Kein	PIAT	kein
Leser	NN	Leser
kann	VMFIN	können
diese	PDS	dies
beiden	PIAT	beide
Bändchen	NN	Bändchen
ohne	APPR	ohne
nachhaltigen	ADJA	nachhaltig
Genuss	NN	Genuss
aus	APPR	aus
der	ART	d
Hand	NN	Hand
legen	VVINF	legen
,	$,	,
und	KON	und
wir	PPER	wir
dürfen	VMFIN	dürfen
in	APPR	in
der	ART	d
Folge	NN	Folge
wohl	ADV	wohl
noch	ADV	noch
manch	PIAT	manch
Schönes	NN	Schöne
erwarten	VVINF	erwarten
.	$.	.
<s lang="de" n="24-76">
]	$(	]
)	$(	)
Inselverlag	NN	Inselverlag
Leipzig	NE	Leipzig
1914	CARD	@card@
.	$.	.
<s lang="de" n="24-77">
s	NN	s
)	$(	)
Verlag	NN	Verlag
W.	NE	W.
Trösch	NE	Trösch
,	$,	,
Ölten	VVFIN	ölen
1918	CARD	@card@
.	$.	.
<s lang="de" n="24-78">
*	XY	*
)	$(	)
Verlag	NN	Verlag
Bircher	NE	Bircher
,	$,	,
Bern	NE	Bern
.	$.	.
<s lang="de" n="24-73">
Der	ART	d
Niesen	NE	Niesen
Gemälde	NN	Gemälde
von	APPR	von
U.	NE	U.
W.	NE	W.
Züricher	NE	Züricher
<s lang="de" n="24-74">
Incavo	NE	unk
-Tiefdruck	NN	-Tiefdruck
Brunner	NE	Brunner
&	KON	&amp;
Cie.	NN	Compagnie
A.	APPRART	am
G.	NE	G.
Zürich	NE	Zürich
<s lang="de" n="24-75">
Märjelensee	NE	Märjelensee
Gemälde	NN	Gemälde
von	APPR	von
U.W.	NE	U.W.
Züricher	NE	Züricher
<article n="25">
<s lang="de" n="25-1">
Gedichte	NN	Gedicht
aus	APPR	aus
den	ART	d
Alpen	NN	Alp
.	$.	.
<s lang="de" n="25-2">
Von	APPR	von
Ulrich	NE	Ulrich
Wilhelm	NE	Wilhelm
Züricher	NE	Züricher
.	$.	.
<s lang="de" n="25-3">
Heimat	NN	Heimat
.	$.	.
<s lang="de" n="25-4">
O	NN	Osten
Berge	NN	Berg
,	$,	,
hohe	ADJA	hoch
Heimat	NN	Heimat
!	$.	!
<s lang="de" n="25-5">
0	CARD	@card@
lichtdurchflutet	ADJD	lichtdurchflutet
Land	NN	Land
,	$,	,
Wo	PWAV	wo
meine	PPOSAT	mein
wunde	ADJA	wund
Seele	NN	Seele
<s lang="de" n="25-6">
Stets	ADV	stets
Trost	NN	Trost
und	KON	und
Stärkung	NN	Stärkung
fand	VVFIN	finden
.	$.	.
<s lang="de" n="25-7">
Dort	ADV	dort
unten	ADV	unten
jagt	VVFIN	jagen
die	ART	d
Menge	NN	Menge
<s lang="de" n="25-8">
Nach	APPR	nach
Schein	NN	Schein
und	KON	und
leerer	ADJA	leer
Lust	NN	Lust
.	$.	.
<s lang="de" n="25-9">
Hier	ADV	hier
atmet	VVFIN	atmen
ew'gen	NE	unk
Frieden	NN	Frieden
<s lang="de" n="25-10">
Die	ART	d
menschenmüde	ADJA	menschenmüde
Brust	NN	Brust
.	$.	.
<s lang="de" n="25-11">
Hier	ADV	hier
ragen	VVFIN	hinein+ragen
Fels	NN	Fels
und	KON	und
Firne	NN	Firn
Ins	NE	Ins
weite	ADJA	weit
Blau	NN	Blau
hinein	PTKVZ	hinein
.	$.	.
<s lang="de" n="25-12">
Wie	KOKOM	wie
Erdenaugen	NN	Erdenauge
leuchtet	VVFIN	leuchten
<s lang="de" n="25-13">
Der	ART	d
Seelein	NE	Seelein
heller	ADJA	hell
Schein	NN	Schein
.	$.	.
<s lang="de" n="25-14">
Und	KON	und
weich	VVIMP	weichen
und	KON	und
braungrüngolden	ADJA	braungrüngolden
Schmiegt	VVFIN	schmiegen
Moos	NN	Moos
sich	PRF	er|es|sie
ins	APPRART	ins
Gestein	NN	Gestein
Und	KON	und
ladet	VVFIN	laden
stille	ADJA	still
Wandrer	NN	Wandrer
<s lang="de" n="25-15">
Zu	APPR	zu
Rast	NN	Rast
und	KON	und
Ruhe	NN	Ruhe
ein	PTKVZ	ein
.	$.	.
<s lang="de" n="25-16">
0	CARD	@card@
Klarheit	NN	Klarheit
,	$,	,
Glanz	NN	Glanz
und	KON	und
Stille	NN	Stille
Bleibt	VVFIN	bleiben
mir	PPER	ich
dort	ADV	dort
unten	ADV	unten
treu	ADJD	treu
,	$,	,
Begleitet	VVPP	begleiten
,	$,	,
was	PRELS	was
ich	PPER	ich
schaffe	VVFIN	schaffen
,	$,	,
Und	KON	und
schafft	VVFIN	schaffen
mich	PRF	ich
selber	ADV	selber
neu	ADJD	neu
.	$.	.
<s lang="de" n="25-17">
Blick	NN	Blick
in	APPR	in
die	ART	d
Weite	NN	Weite
.	$.	.
<s lang="de" n="25-18">
Nun	ADV	nun
haben	VAFIN	haben
wir	PPER	wir
den	ART	d
Weg	NN	Weg
gefunden	VVPP	finden
,	$,	,
Die	ART	d
steile	ADJA	steil
Steigung	NN	Steigung
überwunden	VVPP	überwinden
,	$,	,
Und	KON	und
rings	ADV	rings
um	APPR	um
unsern	PPOSAT	unser
Gipfel	NN	Gipfel
weit	ADJD	weit
Dehnt	VVFIN	dehnen
sich	PRF	er|es|sie
des	ART	d
Landes	NN	Land
Herrlichkeit	NN	Herrlichkeit
.	$.	.
<s lang="de" n="25-19">
Die	ART	d
grosse	ADJA	gross
Welt	NN	Welt
zu	APPR	zu
unsern	PPOSAT	unser
Füssen	NN	Fuss
Will	VMFIN	wollen
uns	PRF	wir
aus	APPR	aus
tausend	CARD	tausend
Augen	NN	Auge
grüssen	VVINF	grüssen
.	$.	.
<s lang="de" n="25-20">
Dort	ADV	dort
jenes	PDAT	jen
Grates	NN	Grat
blankes	ADJA	blank
Eis	NN	Eis
War	VAFIN	sein
einmal	ADV	ein#mal
unsres	PPOSAT	unser
Kletterns	NN	Klettern
Preis	NN	Preis
,	$,	,
Als	KOKOM	als
mit	APPR	mit
dem	ART	d
Freund	NN	Freund
voll	ADJD	voll
Jugendkraft	NN	Jugendkraft
<s lang="de" n="25-21">
Uns	PPER	wir
Höhenluft	NN	Höhenluft
war	VAFIN	sein
Leidenschaft	NN	Leidenschaft
.	$.	.
<s lang="de" n="25-22">
Auch	ADV	auch
jene	PDS	jen
frei	ADJD	frei
geschwungne	ADJA	geschwungen
Lücke	NN	Lücke
Sah	NE	Sah
uns	PRF	wir
in	APPR	in
jungem	ADJA	jung
Wanderglücke	NN	Wanderglück
.	$.	.
<s lang="de" n="25-23">
Die	ART	d
Zacke	NN	Zacke
kühn	ADJD	kühn
und	KON	und
hochgeboren	ADJA	hochgeboren
Hab	NN	Hab
einsam	ADJD	einsam
ich	PPER	ich
mir	PRF	ich
einst	ADV	einst
erkoren	VVPP	erküren
,	$,	,
Um	KOUI	um
durch	APPR	durch
Gefahr	NN	Gefahr
und	KON	und
festen	ADJA	fest
Willen	NN	Wille
Des	NN	Des
heissen	ADJA	heiss
Blutes	NN	Blut
Sturm	NE	Sturm
zu	PTKZU	zu
stillen	VVINF	stillen
.	$.	.
<s lang="de" n="25-24">
Die	ART	d
Gruppe	NN	Gruppe
dort	ADV	dort
im	APPRART	im
zarten	ADJA	zart
Blau	NN	Blau
,	$,	,
0	CARD	@card@
Liebste	ADJA	lieb
,	$,	,
heb	VVIMP	heben
dein	PPOSAT	dein
Aug	NE	Aug
und	KON	und
schau	VVIMP	schauen
:	$.	:
<s lang="de" n="25-25">
In	APPR	in
fernen	ADJA	fern
,	$,	,
ersten	ADJA	erst
Liebestagen	NN	Liebestag
Hat	VAFIN	haben
uns	PPER	wir
der	ART	d
Fuss	NN	Fuss
dorthin	ADV	dorthin
getragen	VVPP	tragen
.	$.	.
<s lang="de" n="25-26">
Dort	ADV	dort
glänzt	VVFIN	glänzen
ein	ART	ein
Fluss	NN	Fluss
,	$,	,
ein	ART	ein
Seelein	NE	Seelein
blinkt	VVFIN	blinken
.	$.	.
<s lang="de" n="25-27">
Vergangne	ADJA	vergangen
Zeit	NN	Zeit
aus	APPR	aus
Weiten	NN	Weite
winkt	VVFIN	winken
.	$.	.
<s lang="de" n="25-28">
Und	KON	und
mit	APPR	mit
der	ART	d
Zeit	NN	Zeit
kommt	VVFIN	zurück+kommen
Leid	NN	Leid
und	KON	und
Glück	NN	Glück
Durch	APPR	durch
Dämmerwellen	NN	Dämmerwellen
uns	PPER	wir
zurück	PTKVZ	zurück
.	$.	.
<s lang="de" n="25-29">
Was	PWS	was
wir	PPER	wir
geliebt	VVPP	lieben
,	$,	,
gelobt	VVPP	geloben|loben
,	$,	,
bestritten	VVPP	bestreiten
,	$,	,
Das	PDS	d
wandert	VVFIN	wandern
wie	KON	wie
mit	APPR	mit
Geisterschritten	NN	Geisterschritt
Beschwingt	VVFIN	beschwingen
ob	ADV	ob
all	PIAT	all
dem	ART	d
Gipfelmeer	NN	Gipfelmeer
<s lang="de" n="25-30">
Aus	APPR	aus
fernen	ADJA	fern
Tälern	NN	Tal
zu	APPR	zu
uns	PRF	wir
her	PTKVZ	her
.	$.	.
<s lang="de" n="25-31">
Die	ART	d
Augen	NN	Auge
schweifen	VVFIN	schweifen
in	APPR	in
der	ART	d
Runde	NN	Runde
.	$.	.
<s lang="de" n="25-32">
O	NN	Osten
Herrlichkeit	NN	Herrlichkeit
der	ART	d
hohen	ADJA	hoch
Stunde	NN	Stunde
,	$,	,
Wo	PWAV	wo
hoch	ADJD	hoch
ob	APPR	ob
aller	PIAT	alle
Alltagsnot	NN	Alltagsnot
Befreiten	ADJA	befreit
Geistes	NN	Geist
Flamme	NN	Flamme
loht	VVFIN	lohen
,	$,	,
Zu	APPR	zu
sich	PRF	er|es|sie
den	PDS	d
Weg	NN	Weg
die	ART	d
Seele	NN	Seele
findet	VVFIN	finden
Und	KON	und
allem	PIAT	alle
Ew'gen	NN	unk
sich	PRF	er|es|sie
verbindet	VVFIN	verbinden
!	$.	!
<s lang="de" n="25-33">
Morgengrus	NN	Morgengrus
s.	ADJA	unk
<s lang="de" n="25-34">
Morgenstill	ADJA	morgenstill
durchwandern	VVFIN	durchwandern
Lichte	ADJA	licht
Lärchenhaine	NN	Lärchenhain
,	$,	,
In	APPR	in
der	PRELS	d
Tiefe	NN	Tiefe
lassend	ADJD	lassend
Allen	NE	Allen
Streit	NN	Streit
,	$,	,
in	APPR	in
reine	ADJA	rein
Höhenfrische	ADJA	höhenfrisch
Winde	NN	Wind
<s lang="de" n="25-35">
Seine	PPOSAT	sein
Stirne	NN	Stirne
tauchen	VVFIN	tauchen
,	$,	,
Während	KOUS	während
erste	ADJA	erst
Strahlen	NN	Strahl
Rötlich	ADJD	rötlich
überhauchen	VVFIN	überhauchen
Alle	PIAT	alle
unermessne	ADJA	unermessen
Freie	ADJA	frei
Himmelsweite	NN	Himmelsweit
:	$.	:
<s lang="de" n="25-36">
So	ADV	so
kommt	VVFIN	kommen
der	ART	d
Gedanken	NN	Gedanke
Starkes	ADJA	stark
Weggeleite	NN	Weggeleit
.	$.	.
<s lang="de" n="25-37">
Was	PWS	was
in	APPR	in
bangen	ADJA	bange
Nächten	NN	Nacht
Quälet	VVFIN	quälen
Herz	NN	Herz
und	KON	und
Hirn	NN	Hirn
,	$,	,
Das	PDS	d
entspringt	VVFIN	entspringen
in	APPR	in
Gluten	NN	Glut
<s lang="de" n="25-38">
Nun	ADV	nun
der	ART	d
Mannesstirn	NN	Mannesstirn
.	$.	.
<s lang="de" n="25-39">
Halbdurchalinte	NN	unk
Wirrnis	NN	Wirrnis
Wendet	VVFIN	wenden
sich	PRF	er|es|sie
zur	APPRART	zur
Klarheit	NN	Klarheit
.	$.	.
<s lang="de" n="25-40">
Höhengruss	NN	Höhengruss
ins	APPRART	ins
Weite	ADJA	weit
Allem	ADJA	unk
Mut	NN	Mut
der	ART	d
Wahrheit	NN	Wahrheit
.	$.	.
<s lang="de" n="25-41">
Bergestrost	NN	Bergestrost
.	$.	.
<s lang="de" n="25-42">
Wenn	KOUS	wenn
der	ART	d
Friede	NN	Friede
von	APPR	von
dir	PPER	du
wich	VVFIN	weichen
Und	KON	und
das	ART	d
Leid	NN	Leid
als	KON	als
Opfer	NN	Opfer
dich	PPER	du
erlesen	VVPP	erlesen
,	$,	,
Flieh	VVIMP	fliehen
ins	APPRART	ins
Bergland	NN	Bergland
!	$.	!
<s lang="de" n="25-43">
Auf	APPR	auf
der	ART	d
Alp	NN	Alp
Wirst	VVFIN	werden
von	APPR	von
Gram	NN	Gram
und	KON	und
Sorgen	NN	Sorge
du	NE	du
genesen	VVPP	genesen
.	$.	.
<s lang="de" n="25-44">
Wenn	KOUS	wenn
der	ART	d
Blick	NN	Blick
ins	APPRART	ins
Weite	NN	Weite
schweift	VVFIN	schweifen
,	$,	,
Und	KON	und
ein	ART	ein
fernes	ADJA	fern
Glockenläuten	NN	Glockenläuten
leisen	ADJA	leise
Widerklang	NN	Widerklang
im	APPRART	im
Herzen	NN	Herz
weckt	VVFIN	wecken
,	$,	,
Wenn	KOUS	wenn
um	APPR	um
freie	ADJA	frei
Höhen	NN	Höhe
Gipfel	NN	Gipfel
kreisen	VVFIN	kreisen
,	$,	,
Endlos	ADJA	endlos
,	$,	,
ungezählt	ADJD	ungezählt
ein	ART	ein
Heer	NN	Heer
Ungebrochner	ADJA	ungebrochen
,	$,	,
trotz'ger	ADJA	unk
Riesenrecken	NN	Riesenrecken
,	$,	,
Die	PRELS	d
die	ART	d
Häupter	NN	Haupt
in	APPR	in
die	ART	d
Luft	NN	Luft
<s lang="de" n="25-45">
Gegen	APPR	gegen
Wolken	NN	Wolke
,	$,	,
Blitz	NN	Blitz
und	KON	und
Himmel	NN	Himmel
strecken	VVINF	strecken
:	$.	:
<s lang="de" n="25-46">
Wird	VAFIN	werden
das	ART	d
Herz	NN	Herz
dir	PRF	du
wieder	ADV	wieder
weit	ADJD	weit
,	$,	,
Wachsen	NN	Wachsen
wieder	ADV	wieder
deine	PPOSAT	dein
Lebensgeister	NN	Lebensgeist
,	$,	,
Über	APPR	über
Gram	NN	Gram
und	KON	und
Sorgen	NN	Sorge
fühlst	VVFIN	fühlen
Du	PPER	du
dich	PPER	du
selig	ADJD	selig
Sieger	NN	Sieger
,	$,	,
Herr	NN	Herr
und	KON	und
Meister	NN	Meister
.	$.	.
<s lang="de" n="25-137">
Auf	APPR	auf
der	ART	d
Lauener	ADJA	unk
Windspille	NN	Windspill
<s lang="de" n="25-138">
Gemälde	NN	Gemälde
von	APPR	von
U.	NE	U.
W.	NE	W.
Züricher	NE	Züricher
<s lang="de" n="25-139">
Incavo-Tiefdrud	NE	unk
Brunner	NE	Brunner
&	KON	&amp;
Cie.	NN	Compagnie
A.G.	NE	A.G.
Zürich	NE	Zürich
<s lang="de" n="25-140">
Lichtgebet	NN	Lichtgebet
<s lang="de" n="25-141">
Gemälde	NN	Gemälde
von	APPR	von
W.	NE	W.
Züricher	NE	Züricher
<s lang="de" n="25-142">
Incavo-Tiefdruck	NN	unk
BrunrrerÄ	NE	unk
Cio.	VVFIN	unk
A.G.	NE	A.G.
Zürich	NE	Zürich
<s lang="de" n="25-47">
1	CARD	@card@
G9	NN	unk
<s lang="de" n="25-48">
Wintersturm	NE	Wintersturm
.	$.	.
<s lang="de" n="25-49">
Schnee	NN	Schnee
fegt	VVFIN	fegen
um	APPR	um
weisse	ADJA	weiss
Halden	NE	Halden
.	$.	.
<s lang="de" n="25-50">
Im	APPRART	im
Walde	NN	Wald
Stöhnen	NN	Stöhnen
,	$,	,
Heulen	NN	Heulen
,	$,	,
Krachen	NN	Krachen
,	$,	,
Und	KON	und
von	APPR	von
den	ART	d
Felsen	NN	Felsen
stürmen	VVFIN	stürmen
Gespenstig	ADJD	gespenstig
graue	ADJA	grau
Nebeldrachen	NN	Nebeldrachen
.	$.	.
<s lang="de" n="25-51">
Wie	KOKOM	wie
das	PDS	d
die	ART	d
Seele	NN	Seele
lüftet	VVFIN	lüften
,	$,	,
Das	ART	d
alte	ADJA	alt
,	$,	,
herbe	ADJA	herb
Herz	NN	Herz
erfrischt	VVPP	erfrischen
!	$.	!
<s lang="de" n="25-52">
Und	KON	und
Müdigkeit	NN	Müdigkeit
und	KON	und
Sorgen	NN	Sorge
Sind	VAFIN	sein
alle	PIS	alle
wieder	ADV	wieder
weggewischt	VVPP	wegwischen
.	$.	.
<s lang="de" n="25-53">
Wie	KOKOM	wie
Spannkraft	NN	Spannkraft
,	$,	,
Frohmut	NN	Frohmut
wachsen	VVINF	wachsen
<s lang="de" n="25-54">
In	APPR	in
wilder	ADJA	wild
Winterherrlichkeit	NN	Winterherrlichkeit
,	$,	,
Und	KON	und
schlaff	ADJD	schlaff
gewordne	ADJA	geworden
Liebe	NN	Liebe
Wird	VAFIN	werden
wieder	ADV	wieder
stark	ADJD	stark
und	KON	und
kampfbereit	ADJD	kampfbereit
.	$.	.
<s lang="de" n="25-55">
E	NN	E
x	ADJA	unk
e	ADJA	unk
e	ADJA	unk
1	CARD	@card@
s	NN	s
i	ADJA	unk
o	ADJA	unk
r.	ADJA	unk
<s lang="de" n="25-56">
Die	ART	d
Menschheit	NN	Menschheit
stöhnt	VVFIN	stöhnen
in	APPR	in
Werdenot	NN	Werdenot
.	$.	.
<s lang="de" n="25-57">
Der	ART	d
Hass	NN	Hass
,	$,	,
der	PRELS	d
um	APPR	um
die	ART	d
Erde	NN	Erde
schäumt	VVFIN	schäumen
,	$,	,
Zuckt	VVFIN	zucken
leis	ADJD	leis
auch	ADV	auch
durch	APPR	durch
das	ART	d
Nebelgrau	NN	Nebelgrau
,	$,	,
In	APPR	in
dem	PRELS	d
mein	PPOSAT	mein
stilles	ADJA	still
Dörfchen	NN	Dörfchen
träumt	VVFIN	träumen
.	$.	.
<s lang="de" n="25-58">
Beengter	ADJA	beengt
Blick	NN	Blick
und	KON	und
feuchte	ADJA	feucht
Luft	NN	Luft
,	$,	,
Herrgott	NN	Herrgott
,	$,	,
ich	PPER	ich
halt	ADV	halt
es	PPER	es
nimmer	ADV	nimmer
aus	PTKVZ	aus
!	$.	!
<s lang="de" n="25-59">
Die	ART	d
Unruh	NN	Unruh
sitzt	VVFIN	sitzen
mir	PPER	ich
im	APPRART	im
Gebein	NN	Gebein
Und	KON	und
jagt	VVFIN	jagen
mich	PRF	ich
aus	APPR	aus
dem	ART	d
warmen	ADJA	warm
Haus	NN	Haus
.	$.	.
<s lang="de" n="25-60">
Durch	APPR	durch
dichte	ADJA	dicht
Wolkentiefenei	NN	unk
Steig	NE	Steig
ich	PPER	ich
den	ART	d
steilen	ADJA	steil
Berg	NN	Berg
empor	PTKVZ	empor
,	$,	,
Und	KON	und
nirgends	ADV	nirgends
Helle	ADJA	hell
,	$,	,
nirgends	ADV	nirgends
Licht	NN	Licht
Glänzt	VVFIN	hervor+glänzen
aus	APPR	aus
dem	ART	d
trüben	ADJA	trüb
Grau	NN	Grau
hervor	PTKVZ	hervor
.	$.	.
<s lang="de" n="25-61">
Und	KON	und
höher	ADJD	hoch
wandert	VVFIN	wandern
stets	ADV	stets
mein	PPOSAT	mein
Fuss	NN	Fuss
<s lang="de" n="25-62">
Den	ART	d
einsam	ADJD	einsam
stillen	ADJA	still
Weg	NN	Weg
hinan	ADV	hinan
:	$.	:
<s lang="de" n="25-63">
Ist	VAFIN	sein
denn	ADV	denn
die	ART	d
ganze	ADJA	ganz
Welt	NN	Welt
verhüllt	VVPP	verhüllen
,	$,	,
Versenkt	VVFIN	versenken
in	NE	in
dunklen	ADJA	dunkel
Nebelwahn	NN	Nebelwahn
?	$.	?
<s lang="de" n="25-64">
Dort	ADV	dort
,	$,	,
dort	ADV	dort
um	APPR	um
jenen	PDAT	jen
Höhengrat	NN	Höhengrat
,	$,	,
Dort	ADV	dort
muss	VMFIN	müssen
es	PPER	es
endlich	ADV	endlich
heller	ADJA	hell
seinl	NN	unk
Erreicht	VVPP	erreichen
!	$.	!
<s lang="de" n="25-65">
Doch	KON	doch
rings	ADV	rings
in	APPR	in
trübem	ADJA	trüb
Grau	NN	Grau
Gespenstern	NN	Gespenst
Tannen	NN	Tanne
und	KON	und
Gestein	NN	Gestein
.	$.	.
<s lang="de" n="25-66">
Schon	ADV	schon
dämmert	VVFIN	dämmern
's	PPER	es
durch	APPR	durch
die	ART	d
Schattenwelt	NN	Schattenwelt
.	$.	.
<s lang="de" n="25-67">
Rasch	ADJA	rasch
steig	VVIMP	steigen
ich	PPER	ich
höherm	ADJA	hoch
Gipfel	NN	Gipfel
zu	PTKVZ	zu
:	$.	:
<s lang="de" n="25-68">
Es	PPER	es
muss	VMFIN	müssen
,	$,	,
es	PPER	es
muss	VMFIN	müssen
erstritten	VVPP	erstreiten
sein	VAINF	sein
,	$,	,
Licht	NN	Licht
lebt	VVFIN	leben
ob	APPR	ob
dieser	PDAT	dies
Nebelruh	NN	unk
!	$.	!
<s lang="de" n="25-69">
Da	ADV	da
!	$.	!
<s lang="de" n="25-70">
Helle	NN	Helle
!	$.	!
<s lang="de" n="25-71">
Bläue	NN	Bläue
!	$.	!
<s lang="de" n="25-72">
Nebelriss	NN	Nebelriss
!	$.	!
<s lang="de" n="25-73">
Empor	ADV	empor
und	KON	und
in	APPR	in
den	ART	d
Glanz	NN	Glanz
hinein	PTKVZ	hinein
!	$.	!
<s lang="de" n="25-74">
Und	KON	und
Berg	NN	Berg
um	APPR	um
Berg	NN	Berg
in	APPR	in
dunkler	ADJA	dunkel
Pracht	NN	Pracht
Ruhn	VVFIN	ruhen
klar	ADJD	klar
im	APPRART	im
Abendhimmelschein	NN	Abendhimmelschein
.	$.	.
<s lang="de" n="25-75">
Und	KON	und
staunend	ADJD	staunend
schweift	VVFIN	schweifen
der	ART	d
frohe	ADJA	froh
Blick	NN	Blick
Aufs	NN	unk
endlos	ADJD	endlos
weite	ADJA	weit
Nebelmeer	NN	Nebelmeer
,	$,	,
Das	ART	d
um	APPR	um
die	ART	d
Gipfeleinsamkeit	NN	Gipfeleinsamkeit
Gespenstisch	ADJA	gespenstisch
flutet	VVFIN	hin+fluten
hin	PTKVZ	hin
und	KON	und
her	ADV	her
.	$.	.
<s lang="de" n="25-76">
Und	KON	und
eine	ART	ein
Stimme	NN	Stimme
klingt	VVFIN	klingen
in	APPR	in
mir	PPER	ich
:	$.	:
<s lang="de" n="25-77">
Ob	KOUS	ob
allem	PIAT	alle
Dunkel	NN	Dunkel
leuchtet	VVFIN	leuchten
Licht	NN	Licht
,	$,	,
Und	KON	und
Nacht	NN	Nacht
und	KON	und
Graus	NN	Grau
und	KON	und
Krieg	NN	Krieg
und	KON	und
Mord	NN	Mord
Sind	VAFIN	sein
letzte	ADJA	letzt
Menschheitswerte	NN	Menschheitswert
nicht	PTKNEG	nicht
.	$.	.
<s lang="de" n="25-78">
Wohl	ADV	wohl
liegt	VVFIN	liegen
die	ART	d
Welt	NN	Welt
in	APPR	in
Hass	NN	Hass
beengt	VVFIN	beengen
Im	APPRART	im
Nebel	NN	Nebel
schwankt	VVFIN	schwanken
der	ART	d
Völkerschwall	NN	Völkerschwall
,	$,	,
Doch	KON	doch
einmal	ADV	ein#mal
wird	VAFIN	werden
es	PPER	es
doch	ADV	doch
noch	ADV	noch
wahr	ADJD	wahr
,	$,	,
Dass	KOUS	dass
Friede	NN	Friede
klingt	VVFIN	klingen
durchs	APPRART	durchs
weite	ADJA	weit
All	NN	All
.	$.	.
<s lang="de" n="25-79">
Morgenstunde	NN	Morgenstunde
.	$.	.
<s lang="de" n="25-80">
Noch	ADV	noch
pulst	VVFIN	pulen
in	APPR	in
unsern	PPOSAT	unser
Adern	NN	Ader
<s lang="de" n="25-81">
Ein	ART	eine
froher	ADJA	froh
Jugendmut	NN	Jugendmut
:	$.	:
<s lang="de" n="25-82">
Hervor	ADV	hervor
nun	ADV	nun
Sack	NN	Sack
und	KON	und
Pickel	NN	Pickel
,	$,	,
Und	KON	und
du	NE	du
,	$,	,
mein	PPOSAT	mein
Wanderhut	NN	Wanderhut
!	$.	!
<s lang="de" n="25-83">
Komm	VVIMP	kommen
,	$,	,
Lieb	NN	Lieb
,	$,	,
die	PRELS	d
Sterne	NN	Stern
flimmern	VVFIN	flimmern
Geheimnisvoll	ADJA	geheimnisvoll
durchs	APPRART	durchs
All	NN	All
,	$,	,
Heut	ADV	heute
möcht	VVFIN	unk
ich	PPER	ich
Fernen	NN	Ferne
schauen	VVFIN	schauen
Vom	APPRART	vom
hohen	ADJA	hoch
Alpenwall	NN	Alpenwall
.	$.	.
<s lang="de" n="25-84">
Noch	ADV	noch
nachts	ADV	nachts
,	$,	,
bevor	KOUS	bevor
im	APPRART	im
Osten	NN	Osten
<s lang="de" n="25-85">
Uns	PPER	wir
graut	VVFIN	grauen
der	ART	d
junge	ADJA	jung
Tag	NN	Tag
,	$,	,
Durchwandern	NN	Durchwandern
wir	PPER	wir
schon	ADV	schon
rüstig	ADJD	rüstig
Vorweid	NN	unk
und	KON	und
Tannenschlag	NN	Tannenschlag
.	$.	.
<s lang="de" n="25-86">
Und	KON	und
küsst	VVFIN	küssen
dann	ADV	dann
Mutter	NN	Mutter
